filename,pages,answer_markers,analysis_markers,solution_markers,example_markers,numbered_question_markers,preliminary_question_estimate,estimate_basis,needs_parser_validation
4类数列综合（数列不等式的证明、不等式放缩、参数求解、三角函数综合）（解析版）(1).pdf,27,15,15,19,4,15,15,answer_markers,True
专题 数列（解析版）(1).pdf,28,44,44,44,0,4,44,answer_markers,True
专题01 集合与逻辑用语（选填题7种考法）（老师版）(1).pdf,24,70,0,70,26,36,70,answer_markers,True
专题练习：导数27个专题（解析）_(1).pdf,202,280,0,390,0,364,280,answer_markers,True
函数性质的八大题型综合应用（解析版）(1).pdf,32,0,0,0,0,10,10,max_structural_marker,True
函数性质的综合应用 解析版(1).pdf,30,56,53,56,0,1,56,answer_markers,True
大题 函数与导数（解析版）(1).pdf,53,40,40,40,0,15,40,answer_markers,True
大题 圆锥曲线（椭圆、双曲线、抛物线）（精选30题）（学生版）(1).pdf,15,0,0,0,0,0,0,student_numbering,True
大题 立体几何（精选30题）（解析版）(1).pdf,39,30,30,30,0,2,30,answer_markers,True
排列组合与二项式定理（解析版）(1).pdf,13,29,29,29,0,0,29,answer_markers,True
数列放缩通项证明不等式与数列不等式恒成立问题（原卷版）(1).pdf,9,0,0,0,0,26,26,student_numbering,True
数学-湖北省武汉市2025届高中毕业生二月调研考试（武汉二调）试题和解析.pdf,15,14,0,19,0,19,14,answer_markers,True
数学-湖北省武汉市2025届高中毕业生四月调研考试（武汉四调）试卷和答案.pdf,7,0,0,0,0,6,6,max_structural_marker,True
新高考数学概率黄金32题（教师版）(1).pdf,30,0,0,0,0,11,11,max_structural_marker,True
椭圆性质（考题猜想，易错必刷30题13种题型）（解析版）(1).pdf,20,30,30,30,0,30,30,answer_markers,True
概率统计大题综合（解析版）(1).pdf,36,30,30,30,0,41,30,answer_markers,True
概率统计（精选30题）（解析版）(1).pdf,38,30,30,30,0,11,30,answer_markers,True
直线与圆、圆锥曲线（解析版）(1).pdf,40,50,0,50,0,2,50,answer_markers,True
直线与圆重难点1：斜率与距离最值问题(1).pdf,3,0,0,0,0,10,10,max_structural_marker,True
直线与圆重难点2：与圆有关的轨迹方程（含解析）(1).pdf,23,0,0,31,0,50,50,max_structural_marker,True
直线与圆重难点3： 圆中的范围与最值问题(1).pdf,55,69,0,69,69,0,69,answer_markers,True
直线与圆重难点4：圆交线、圆切线的最值分析（含解析）(1).pdf,7,0,0,2,0,27,27,max_structural_marker,True
秒杀高考导数【导数精讲+十年真题】(1).pdf,130,0,0,68,119,191,191,max_structural_marker,True
立体几何必考经典解答题全归类【十大题型】（举一反三）（新高考专用）（原卷版）(1).pdf,31,0,0,0,10,33,33,student_numbering,True
统计与概率：条件概率、全概率公式与贝叶斯公式、全概率公式与数列综合复习讲义（解析版）(1).pdf,46,66,0,66,0,99,66,answer_markers,True
重难点培优 解三角形解答题题型全归纳（学生版）(1).pdf,40,0,0,0,0,90,90,student_numbering,True
（解析）高一数学题型汇编（不等式、函数和三角函数）（解析）(1).pdf,603,674,210,1656,0,372,674,answer_markers,True
（原卷）高一数学题型汇编（不等式、函数和三角函数）（原卷）.pdf,395,0,0,0,602,565,674,paired_solved_answer_markers,True
