node_id,parent_id,volume,node_type,code,name,prerequisite_node_ids,primary_competencies,status
pep_a_r1,,,volume,R1,必修第一册,,,draft
pep_a_r1_c1,pep_a_r1,必修第一册,chapter,1,集合与常用逻辑用语,,逻辑推理|数学抽象,draft
pep_a_r1_c1_s1,pep_a_r1_c1,必修第一册,section,1.1,集合的概念,,数学抽象,draft
pep_a_r1_c1_s2,pep_a_r1_c1,必修第一册,section,1.2,集合间的基本关系,pep_a_r1_c1_s1,逻辑推理|数学抽象,draft
pep_a_r1_c1_s3,pep_a_r1_c1,必修第一册,section,1.3,集合的基本运算,pep_a_r1_c1_s1|pep_a_r1_c1_s2,数学运算|逻辑推理,draft
pep_a_r1_c1_s4,pep_a_r1_c1,必修第一册,section,1.4,充分条件与必要条件,pep_a_r1_c1_s1,逻辑推理,draft
pep_a_r1_c1_s5,pep_a_r1_c1,必修第一册,section,1.5,全称量词与存在量词,pep_a_r1_c1_s1|pep_a_r1_c1_s4,逻辑推理|数学抽象,draft
pep_a_r1_c2,pep_a_r1,必修第一册,chapter,2,一元二次函数方程和不等式,pep_a_r1_c1,数学运算|逻辑推理,draft
pep_a_r1_c2_s1,pep_a_r1_c2,必修第一册,section,2.1,等式性质与不等式性质,pep_a_r1_c1_s3,数学运算|逻辑推理,draft
pep_a_r1_c2_s2,pep_a_r1_c2,必修第一册,section,2.2,基本不等式,pep_a_r1_c2_s1,数学运算|逻辑推理,draft
pep_a_r1_c2_s3,pep_a_r1_c2,必修第一册,section,2.3,二次函数与一元二次方程不等式,pep_a_r1_c2_s1,数学运算|直观想象,draft
pep_a_r1_c3,pep_a_r1,必修第一册,chapter,3,函数的概念与性质,pep_a_r1_c1|pep_a_r1_c2,数学抽象|直观想象,draft
pep_a_r1_c3_s1,pep_a_r1_c3,必修第一册,section,3.1,函数的概念及其表示,pep_a_r1_c1_s1|pep_a_r1_c2_s3,数学抽象|直观想象,draft
pep_a_r1_c3_s2,pep_a_r1_c3,必修第一册,section,3.2,函数的基本性质,pep_a_r1_c3_s1|pep_a_r1_c2_s1,逻辑推理|直观想象,draft
pep_a_r1_c3_s3,pep_a_r1_c3,必修第一册,section,3.3,幂函数,pep_a_r1_c3_s1|pep_a_r1_c3_s2,数学抽象|直观想象,draft
pep_a_r1_c3_s4,pep_a_r1_c3,必修第一册,section,3.4,函数的应用一,pep_a_r1_c3_s1|pep_a_r1_c3_s2|pep_a_r1_c3_s3,数学建模|数学运算,draft
pep_a_r1_c4,pep_a_r1,必修第一册,chapter,4,指数函数与对数函数,pep_a_r1_c3,数学运算|直观想象,draft
pep_a_r1_c4_s1,pep_a_r1_c4,必修第一册,section,4.1,指数,pep_a_r1_c3_s1,数学运算,draft
pep_a_r1_c4_s2,pep_a_r1_c4,必修第一册,section,4.2,指数函数,pep_a_r1_c4_s1|pep_a_r1_c3_s2,数学抽象|直观想象,draft
pep_a_r1_c4_s3,pep_a_r1_c4,必修第一册,section,4.3,对数,pep_a_r1_c4_s1,数学运算,draft
pep_a_r1_c4_s4,pep_a_r1_c4,必修第一册,section,4.4,对数函数,pep_a_r1_c4_s2|pep_a_r1_c4_s3|pep_a_r1_c3_s2,数学抽象|直观想象,draft
pep_a_r1_c4_s5,pep_a_r1_c4,必修第一册,section,4.5,函数的应用二,pep_a_r1_c4_s2|pep_a_r1_c4_s4,数学建模|数据分析,draft
pep_a_r1_c5,pep_a_r1,必修第一册,chapter,5,三角函数,pep_a_r1_c3,数学抽象|直观想象,draft
pep_a_r1_c5_s1,pep_a_r1_c5,必修第一册,section,5.1,任意角和弧度制,pep_a_r1_c3_s1,数学抽象|数学运算,draft
pep_a_r1_c5_s2,pep_a_r1_c5,必修第一册,section,5.2,三角函数的概念,pep_a_r1_c5_s1|pep_a_r1_c3_s1,数学抽象|直观想象,draft
pep_a_r1_c5_s3,pep_a_r1_c5,必修第一册,section,5.3,诱导公式,pep_a_r1_c5_s2,数学运算|逻辑推理,draft
pep_a_r1_c5_s4,pep_a_r1_c5,必修第一册,section,5.4,三角函数的图象与性质,pep_a_r1_c5_s2|pep_a_r1_c5_s3|pep_a_r1_c3_s2,直观想象|数学运算,draft
pep_a_r1_c5_s5,pep_a_r1_c5,必修第一册,section,5.5,三角恒等变换,pep_a_r1_c5_s2|pep_a_r1_c5_s3,数学运算|逻辑推理,draft
pep_a_r1_c5_s6,pep_a_r1_c5,必修第一册,section,5.6,函数y等于Asinωx加φ,pep_a_r1_c5_s4|pep_a_r1_c5_s5,直观想象|数学建模,draft
pep_a_r1_c5_s7,pep_a_r1_c5,必修第一册,section,5.7,三角函数的应用,pep_a_r1_c5_s4|pep_a_r1_c5_s6,数学建模|数学运算,draft

